STATION,NAME,DATE,CDSD,CLDD,DP01,DP10,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,HTDD,PRCP,SNOW,TAVG,TMAX,TMIN
USC00046074,"NAPA STATE HOSPITAL, CA US",1986-01,0,0,11,8,0,0,0,1,0,0,0,30,0,0,0.82,69,,347,4.5,0,52.8,60.9,44.9
USC00046074,"NAPA STATE HOSPITAL, CA US",1986-02,0,0,14,14,0,0,0,0,0,6,0,33,0,0,3.03,78,,268,15.29,0,55.2,63.8,46.6
USC00046074,"NAPA STATE HOSPITAL, CA US",1986-03,0,0,11,7,0,0,0,0,0,16,0,37,0,0,2.35,81,,208,7.08,0,58,68.9,47.1
USC00046074,"NAPA STATE HOSPITAL, CA US",1986-04,2,2,6,4,0,0,0,0,0,13,0,37,0,0,0.35,85,,214,0.81,0,57.6,70.2,45
USC00046074,"NAPA STATE HOSPITAL, CA US",1986-05,27,25,3,1,0,0,0,0,0,22,1,36,0,0,0.12,91,,93,0.19,0,62.4,76.2,48.6
USC00046074,"NAPA STATE HOSPITAL, CA US",1986-06,85,58,1,0,0,0,0,0,0,27,2,49,0,0,0.01,100,,16,0.01,0,66.6,79.8,53.5
USC00046074,"NAPA STATE HOSPITAL, CA US",1986-07,171,87,0,0,0,0,0,0,0,27,2,50,0,0,0,95,11,11,0,0,67.8,81.6,54.1
USC00046074,"NAPA STATE HOSPITAL, CA US",1986-08,272,101,0,0,0,0,0,0,0,29,1,52,0,0,0,91,13,2,0,0,68.5,81.1,56
USC00046074,"NAPA STATE HOSPITAL, CA US",1986-09,,,7,5,0,0,,,,,,,0,0,0.62,,,,1.52,0,,,
USC00046074,"NAPA STATE HOSPITAL, CA US",1986-10,,56,3,1,0,0,0,0,0,27,0,48,0,0,0.17,89,,37,0.26,0,65.7,78.3,53.1
USC00046074,"NAPA STATE HOSPITAL, CA US",1986-11,,8,2,1,0,0,0,0,0,13,0,34,0,0,0.12,81,,230,0.15,0,56.9,70,43.7
USC00046074,"NAPA STATE HOSPITAL, CA US",1986-12,,,8,7,0,0,,,,,,,0,0,0.52,,,,1.98,0,,,
USC00046074,"NAPA STATE HOSPITAL, CA US",1987-01,0,0,13,9,0,0,0,9,0,0,0,23,0,0,0.92,66,,540,4.11,0,47.6,57,38.1
USC00046074,"NAPA STATE HOSPITAL, CA US",1987-02,0,0,9,5,0,0,0,2,0,3,0,32,0,0,2.9,73,,307,4.63,0,52.4,63.7,41.1
USC00046074,"NAPA STATE HOSPITAL, CA US",1987-03,0,0,13,9,0,1,0,1,0,8,0,32,0,1,1.07,79,,334,4.28,1,54,65.9,42
USC00046074,"NAPA STATE HOSPITAL, CA US",1987-04,7,7,1,1,0,0,0,0,0,19,0,40,0,0,0.16,88,,105,0.16,0,61.4,76.8,45.9
USC00046074,"NAPA STATE HOSPITAL, CA US",1987-05,79,72,0,0,0,0,0,0,0,21,5,43,0,0,0,98,,90,0,0,64.7,77.9,51.4
USC00046074,"NAPA STATE HOSPITAL, CA US",1987-06,,,0,0,0,0,0,0,,,,48,0,0,0,,,,0,0,,,53.1
USC00046074,"NAPA STATE HOSPITAL, CA US",1987-07,,47,0,0,0,0,0,0,0,27,2,47,0,0,0,96,18,18,0,0,66.2,79.9,52.5
USC00046074,"NAPA STATE HOSPITAL, CA US",1987-08,,,0,0,0,0,0,0,,,,48,0,0,0,,,,0,0,,,53.6
USC00046074,"NAPA STATE HOSPITAL, CA US",1987-09,,,0,0,0,0,0,0,,,,46,0,0,0,,,,0,0,,,52
USC00046074,"NAPA STATE HOSPITAL, CA US",1987-10,,47,4,2,0,0,0,0,0,22,3,44,0,0,0.92,101,,63,1.52,0,64.5,77.2,51.9
USC00046074,"NAPA STATE HOSPITAL, CA US",1987-11,,0,7,6,0,0,0,1,0,1,0,32,0,0,0.68,71,,313,2.2,0,53.7,63.4,43.9
USC00046074,"NAPA STATE HOSPITAL, CA US",1987-12,,0,17,12,0,0,0,3,0,0,0,28,0,0,1.36,64,,490,7.65,0,48.4,55.1,41.8
USC00046074,"NAPA STATE HOSPITAL, CA US",1988-01,0,0,14,9,0,0,0,3,0,1,0,31,0,0,1.17,71,,501,5.06,0,48.3,57,39.6
USC00046074,"NAPA STATE HOSPITAL, CA US",1988-02,0,0,1,1,0,0,0,5,0,7,0,29,0,0,0.48,76,,315,0.48,0,53.3,66.3,40.4
USC00046074,"NAPA STATE HOSPITAL, CA US",1988-03,1,1,2,1,0,0,0,0,0,17,0,34,0,0,0.1,86,,236,0.13,0,56.9,71.2,42.5
USC00046074,"NAPA STATE HOSPITAL, CA US",1988-04,11,9,5,4,,0,0,0,0,12,1,39,,0,0.97,90,,174,2.29,0,58.9,71.7,46.2
USC00046074,"NAPA STATE HOSPITAL, CA US",1988-05,49,38,5,3,0,0,0,0,0,24,4,38,0,0,0.54,95,,147,1.04,0,61.5,75.7,47.2
USC00046074,"NAPA STATE HOSPITAL, CA US",1988-06,146,97,1,1,0,0,0,0,0,27,7,42,0,0,0.19,96,,48,0.19,0,66.6,80,53.3
USC00046074,"NAPA STATE HOSPITAL, CA US",1988-07,334,188,0,0,0,0,0,0,0,30,7,50,0,0,0,106,1,1,0,0,71.3,86.4,56.2
USC00046074,"NAPA STATE HOSPITAL, CA US",1988-08,434,99,0,0,,0,0,0,0,29,4,51,,0,0,99,14,13,0,0,67.8,80.7,54.9
USC00046074,"NAPA STATE HOSPITAL, CA US",1988-09,515,82,0,0,0,0,0,0,0,30,6,45,0,0,0,97,44,30,0,0,66.7,82.2,51.2
USC00046074,"NAPA STATE HOSPITAL, CA US",1988-10,542,27,1,1,0,0,0,0,0,22,1,42,0,0,0.11,90,142,98,0.11,0,62.7,75.2,50.2
USC00046074,"NAPA STATE HOSPITAL, CA US",1988-11,542,0,14,10,0,0,0,0,0,3,0,36,0,0,1.24,75,446,303,4.41,0,54,61.9,46.1
USC00046074,"NAPA STATE HOSPITAL, CA US",1988-12,542,0,10,9,0,0,0,4,0,1,0,28,0,0,1,70,985,540,3.39,0,47.6,57.2,38
USC00046074,"NAPA STATE HOSPITAL, CA US",1989-01,0,0,8,3,0,0,0,12,0,0,0,28,0,0,0.6,66,1580,595,1.37,0,45.8,56.3,35.3
USC00046074,"NAPA STATE HOSPITAL, CA US",1989-02,0,0,8,5,0,0,0,7,0,2,0,25,0,0,0.55,71,2085,504,1.37,0,47,57.4,36.6
USC00046074,"NAPA STATE HOSPITAL, CA US",1989-03,0,0,17,12,0,0,0,2,0,3,0,32,0,0,1.73,74,2383,299,6.8,0,55.1,63.7,46.5
USC00046074,"NAPA STATE HOSPITAL, CA US",1989-04,30,30,6,3,0,0,0,0,0,18,2,37,0,0,0.36,91,2553,169,0.9,0,60.2,72.9,47.6
USC00046074,"NAPA STATE HOSPITAL, CA US",1989-05,60,30,3,0,0,0,0,0,0,26,3,40,0,0,0.03,91,2680,127,0.08,0,61.9,75.4,48.3
USC00046074,"NAPA STATE HOSPITAL, CA US",1989-06,160,101,1,0,0,0,0,0,0,28,6,46,0,0,0.09,98,2710,30,0.09,0,67.3,80.6,54.1
USC00046074,"NAPA STATE HOSPITAL, CA US",1989-07,288,127,0,0,0,0,0,0,0,31,8,47,0,0,0,101,3,3,0,0,69,84.8,53.2
USC00046074,"NAPA STATE HOSPITAL, CA US",1989-08,367,80,0,0,0,0,0,0,0,31,3,48,0,0,0,96,8,5,0,0,67.4,80.8,54
USC00046074,"NAPA STATE HOSPITAL, CA US",1989-09,428,61,5,5,0,0,0,0,0,27,4,48,0,0,0.84,94,33,25,2.31,0,66.2,79.2,53.2
USC00046074,"NAPA STATE HOSPITAL, CA US",1989-10,443,15,4,3,0,0,0,0,0,18,2,38,0,0,0.75,90,164,131,1.48,0,60.8,73.6,48.1
USC00046074,"NAPA STATE HOSPITAL, CA US",1989-11,443,0,3,2,0,0,0,0,0,15,0,34,0,0,1.54,78,485,321,1.68,0,54.3,67.4,41.2
USC00046074,"NAPA STATE HOSPITAL, CA US",1989-12,443,0,0,0,0,0,0,16,0,0,0,28,0,0,0,69,1087,602,0,0,44.9,56.8,33
USC00046074,"NAPA STATE HOSPITAL, CA US",1990-01,0,0,10,7,0,0,0,8,0,0,0,28,0,0,1.15,63,1658,571,4.05,0,46.6,56.1,37.1
USC00046074,"NAPA STATE HOSPITAL, CA US",1990-02,0,0,7,6,0,0,0,9,0,3,0,26,0,0,1.29,72,2166,508,3.5,0,46.8,58,35.8
USC00046074,"NAPA STATE HOSPITAL, CA US",1990-03,0,0,6,4,0,0,0,1,0,8,0,32,0,0,0.43,77,2519,352,1.18,0,53.6,64.7,42.6
USC00046074,"NAPA STATE HOSPITAL, CA US",1990-04,12,12,2,1,0,0,0,0,0,17,0,40,0,0,0.32,88,2669,150,0.34,0,60.4,72,48.8
USC00046074,"NAPA STATE HOSPITAL, CA US",1990-05,44,32,7,5,0,0,0,0,0,20,3,42,0,0,1.18,92,2803,133,3.28,0,61.7,73.7,49.8
USC00046074,"NAPA STATE HOSPITAL, CA US",1990-06,132,87,0,0,0,0,0,0,0,28,4,43,0,0,0,101,2834,31,0,0,66.9,80.5,53.2
USC00046074,"NAPA STATE HOSPITAL, CA US",1990-07,264,132,0,0,0,0,0,0,0,31,3,50,0,0,0,100,5,5,0,0,69.1,82.5,55.8
USC00046074,"NAPA STATE HOSPITAL, CA US",1990-08,398,133,0,0,0,0,0,0,0,31,4,53,0,0,0,97,7,2,0,0,69.2,81.4,57
USC00046074,"NAPA STATE HOSPITAL, CA US",1990-09,488,91,1,1,0,0,0,0,0,30,3,48,0,0,0.36,98,9,2,0.36,0,67.9,82,53.9
USC00046074,"NAPA STATE HOSPITAL, CA US",1990-10,514,26,2,1,0,0,0,0,0,29,1,43,0,0,0.18,94,89,79,0.23,0,63.3,79.4,47.1
USC00046074,"NAPA STATE HOSPITAL, CA US",1990-11,,,,,0,0,,,,,,,0,0,,,,,,0,,,
USC00046074,"NAPA STATE HOSPITAL, CA US",1990-12,,0,4,3,0,0,0,19,0,0,0,14,0,0,0.39,67,,704,0.99,0,42.3,54.7,29.9
USC00046074,"NAPA STATE HOSPITAL, CA US",1991-01,0,0,3,2,0,0,0,10,0,1,0,25,0,0,0.24,70,,544,0.46,0,47.4,58.4,36.5
USC00046074,"NAPA STATE HOSPITAL, CA US",1991-02,0,0,5,4,0,0,0,0,0,8,0,35,0,0,1.4,78,,270,3.05,0,55,67.2,42.8
USC00046074,"NAPA STATE HOSPITAL, CA US",1991-03,0,0,16,16,0,0,0,1,0,2,0,31,0,0,1.5,73,,436,10.64,0,50.9,60.1,41.8
USC00046074,"NAPA STATE HOSPITAL, CA US",1991-04,1,1,6,0,0,0,0,0,0,12,0,37,0,0,0.09,86,,267,0.33,0,55.9,68.6,43.2
USC00046074,"NAPA STATE HOSPITAL, CA US",1991-05,17,16,3,0,0,0,0,0,0,21,1,39,0,0,0.07,90,,189,0.15,0,59.4,72.8,46
USC00046074,"NAPA STATE HOSPITAL, CA US",1991-06,52,34,1,1,0,0,0,0,0,26,2,44,0,0,0.4,92,,68,0.4,0,63.9,77.1,50.6
USC00046074,"NAPA STATE HOSPITAL, CA US",1991-07,126,74,0,0,0,0,0,0,0,27,2,52,0,0,0,101,11,11,0,0,67.5,80.1,54.8
USC00046074,"NAPA STATE HOSPITAL, CA US",1991-08,211,85,1,1,0,0,0,0,0,29,1,49,0,0,0.16,92,25,14,0.16,0,67.6,80.4,54.8
USC00046074,"NAPA STATE HOSPITAL, CA US",1991-09,314,103,1,0,0,0,0,0,0,28,6,49,0,0,0.01,100,44,19,0.01,0,67.9,82.7,53
USC00046074,"NAPA STATE HOSPITAL, CA US",1991-10,407,92,3,1,0,0,0,0,0,21,8,37,0,0,2.4,99,132,88,2.47,0,65.2,80.1,50.2
USC00046074,"NAPA STATE HOSPITAL, CA US",1991-11,407,0,4,2,0,0,0,0,0,12,0,34,0,0,0.65,81,412,281,0.84,0,55.7,68.1,43.2
USC00046074,"NAPA STATE HOSPITAL, CA US",1991-12,407,0,5,4,0,0,0,6,0,0,0,30,0,0,0.94,66,960,548,2.18,0,47.3,57.6,37.1
USC00046074,"NAPA STATE HOSPITAL, CA US",1992-01,0,0,6,5,0,0,0,7,0,0,0,30,0,0,1.32,63,1561,601,2.28,0,45.6,54.6,36.6
USC00046074,"NAPA STATE HOSPITAL, CA US",1992-02,0,0,15,13,0,0,0,0,0,7,0,33,0,0,1.41,78,1863,301,7.34,0,54.6,64,45.2
USC00046074,"NAPA STATE HOSPITAL, CA US",1992-03,0,0,12,8,0,0,0,0,0,6,0,39,0,0,1.1,73,2151,289,4.28,0,55.7,65.6,45.7
USC00046074,"NAPA STATE HOSPITAL, CA US",1992-04,20,20,2,1,0,0,0,0,0,22,0,39,0,0,0.61,86,2282,131,0.63,0,61.3,74.7,47.9
USC00046074,"NAPA STATE HOSPITAL, CA US",1992-05,68,48,0,0,0,0,0,0,0,31,3,47,0,0,0,90,2319,37,0,0,65.4,79.1,51.6
USC00046074,"NAPA STATE HOSPITAL, CA US",1992-06,96,28,2,2,0,0,0,0,0,29,0,46,0,0,0.8,81,2348,29,1.09,0,65,76.3,53.6
USC00046074,"NAPA STATE HOSPITAL, CA US",1992-07,238,142,0,0,0,0,0,0,0,31,2,50,0,0,0,94,0,0,0,0,69.6,83.3,55.8
USC00046074,"NAPA STATE HOSPITAL, CA US",1992-08,373,134,0,0,0,0,0,0,0,31,4,48,0,0,0,98,1,1,0,0,69.3,84.2,54.4
USC00046074,"NAPA STATE HOSPITAL, CA US",1992-09,460,87,0,0,0,0,0,0,0,30,4,45,0,0,0,95,12,11,0,0,67.5,83,52.1
USC00046074,"NAPA STATE HOSPITAL, CA US",1992-10,507,47,6,4,0,0,0,0,0,24,5,46,0,0,2.41,92,65,53,3.09,0,64.8,78.8,50.8
USC00046074,"NAPA STATE HOSPITAL, CA US",1992-11,510,4,3,1,0,0,0,0,0,11,0,33,0,0,0.15,78,366,300,0.27,0,55.1,66.7,43.5
USC00046074,"NAPA STATE HOSPITAL, CA US",1992-12,510,0,14,12,0,0,0,6,0,0,0,28,0,0,2.05,64,941,575,8.28,0,45.1,53.9,36.3
USC00046074,"NAPA STATE HOSPITAL, CA US",1993-01,0,0,15,14,0,0,0,10,0,0,0,27,0,0,2.6,66,1536,594,8.89,0,45.8,54.6,37
USC00046074,"NAPA STATE HOSPITAL, CA US",1993-02,0,0,14,9,0,0,0,0,0,0,0,33,0,0,1.66,69,1970,434,5.87,0,49.5,58.6,40.4
USC00046074,"NAPA STATE HOSPITAL, CA US",1993-03,0,0,9,5,0,0,0,0,0,9,0,38,0,0,0.95,77,2202,233,2.08,0,57.1,67,47.1
USC00046074,"NAPA STATE HOSPITAL, CA US",1993-04,5,5,6,4,0,0,0,0,0,12,0,40,0,0,0.69,86,2429,226,1.54,0,57.4,69.8,45
USC00046074,"NAPA STATE HOSPITAL, CA US",1993-05,,,8,5,0,0,0,0,,,,42,0,0,0.38,,,,1.39,0,,,52.2
USC00046074,"NAPA STATE HOSPITAL, CA US",1993-06,,130,4,2,0,0,0,0,0,23,8,48,0,0,0.53,103,,33,0.72,0,69,83.4,54.6
USC00046074,"NAPA STATE HOSPITAL, CA US",1993-07,,99,0,0,0,0,0,0,0,26,4,52,0,0,0,102,3,3,0,0,68.8,82.4,55.3
USC00046074,"NAPA STATE HOSPITAL, CA US",1993-08,,,0,0,0,0,0,0,,,,43,0,0,0,,,,0,0,,,55.3
USC00046074,"NAPA STATE HOSPITAL, CA US",1993-09,,,0,0,0,0,0,0,,,,44,0,0,0,,,,0,0,,,51.6
USC00046074,"NAPA STATE HOSPITAL, CA US",1993-10,,24,6,2,0,0,0,0,0,23,1,45,0,0,0.7,90,,55,1.15,0,63.8,75.4,52.2
USC00046074,"NAPA STATE HOSPITAL, CA US",1993-11,,0,6,5,0,0,0,1,0,8,0,28,0,0,1.56,79,,335,3.49,0,53.4,65.6,41.2
USC00046074,"NAPA STATE HOSPITAL, CA US",1993-12,,0,8,3,0,0,0,9,0,0,0,27,0,0,1.34,66,,543,3.5,0,46.9,56.2,37.6
USC00046074,"NAPA STATE HOSPITAL, CA US",1994-01,0,0,11,4,0,0,0,0,0,0,0,33,0,0,1.07,68,,463,2.56,0,48.9,59.2,38.6
USC00046074,"NAPA STATE HOSPITAL, CA US",1994-02,0,0,10,9,0,0,0,3,0,1,0,31,0,0,0.63,72,,412,3.61,0,49.6,60,39.2
USC00046074,"NAPA STATE HOSPITAL, CA US",1994-03,2,2,2,1,0,0,0,0,0,13,0,34,0,0,0.17,78,,272,0.19,0,56,68.8,43.1
USC00046074,"NAPA STATE HOSPITAL, CA US",1994-04,3,0,8,3,0,0,0,0,0,17,0,39,0,0,0.52,80,,188,1.27,0,58.6,72,45.2
USC00046074,"NAPA STATE HOSPITAL, CA US",1994-05,15,12,4,2,0,0,0,0,0,21,0,44,0,0,0.86,87,,109,1.57,0,61.7,73.6,49.8
USC00046074,"NAPA STATE HOSPITAL, CA US",1994-06,108,93,1,0,0,0,0,0,0,30,6,46,0,0,0.04,100,,16,0.04,0,67.6,82.8,52.3
USC00046074,"NAPA STATE HOSPITAL, CA US",1994-07,154,46,0,0,0,0,0,0,0,30,3,50,0,0,0,93,11,11,0,0,66.2,78.7,53.7
USC00046074,"NAPA STATE HOSPITAL, CA US",1994-08,271,117,0,0,0,0,0,0,0,30,7,49,0,0,0,98,12,2,0,0,68.9,83.6,54.3
USC00046074,"NAPA STATE HOSPITAL, CA US",1994-09,334,63,0,0,0,0,0,0,0,30,5,49,0,0,0,95,25,13,0,0,66.7,80.7,52.6
USC00046074,"NAPA STATE HOSPITAL, CA US",1994-10,347,13,2,2,0,0,0,0,0,30,0,38,0,0,1,86,139,114,1.31,0,61.7,75.9,47.5
USC00046074,"NAPA STATE HOSPITAL, CA US",1994-11,347,0,12,7,0,0,0,1,0,1,0,32,0,0,1.78,75,613,473,6.18,0,48.8,58.8,38.7
USC00046074,"NAPA STATE HOSPITAL, CA US",1994-12,347,0,11,7,0,0,0,6,0,0,0,28,0,0,1,62,1167,554,3.84,0,45.8,53.3,38.4
USC00046074,"NAPA STATE HOSPITAL, CA US",1995-01,0,0,27,21,0,0,0,0,0,0,0,34,0,0,2.18,68,1544,376,13.66,0,52.4,57.1,47.7
USC00046074,"NAPA STATE HOSPITAL, CA US",1995-02,0,0,4,2,0,0,0,1,0,5,0,32,0,0,0.38,74,1825,281,0.54,0,54.3,62.7,46
USC00046074,"NAPA STATE HOSPITAL, CA US",1995-03,0,0,17,15,0,0,0,0,0,4,0,33,0,0,2.47,73,2192,366,11.97,0,53.2,63.6,42.7
USC00046074,"NAPA STATE HOSPITAL, CA US",1995-04,0,0,12,5,0,0,0,0,0,12,0,37,0,0,0.25,81,2422,230,1.26,0,57.3,69,45.6
USC00046074,"NAPA STATE HOSPITAL, CA US",1995-05,5,5,7,4,0,0,0,0,0,18,0,42,0,0,1.55,85,2566,144,3.1,0,60.5,71,50
USC00046074,"NAPA STATE HOSPITAL, CA US",1995-06,93,88,3,2,0,0,0,0,0,26,4,45,0,0,0.75,101,2604,38,0.9,0,66.8,79.6,53.9
USC00046074,"NAPA STATE HOSPITAL, CA US",1995-07,279,186,0,0,0,0,0,0,0,30,11,50,0,0,0,103,0,0,0,0,71.3,85.9,56.6
USC00046074,"NAPA STATE HOSPITAL, CA US",1995-08,435,155,0,0,0,0,0,0,0,30,9,49,0,0,0,96,1,1,0,0,70.2,85,55.4
USC00046074,"NAPA STATE HOSPITAL, CA US",1995-09,509,75,0,0,0,0,0,0,0,28,4,44,0,0,0,96,8,7,0,0,67.5,81.3,53.8
USC00046074,"NAPA STATE HOSPITAL, CA US",1995-10,545,35,0,0,0,0,0,1,0,27,4,31,0,0,0,90,106,98,0,0,62.9,79,46.7
USC00046074,"NAPA STATE HOSPITAL, CA US",1995-11,546,1,3,1,0,0,0,0,0,25,0,38,0,0,0.12,80,265,160,0.18,0,59.5,72.5,46.5
USC00046074,"NAPA STATE HOSPITAL, CA US",1995-12,548,2,18,9,0,0,0,0,0,2,0,35,0,0,3.45,74,618,352,8.9,0,53.7,61.7,45.7
USC00046074,"NAPA STATE HOSPITAL, CA US",1996-01,6,6,14,9,0,0,0,0,0,3,0,35,0,0,2.38,80,870,252,8.2,0,55.6,63.2,48
USC00046074,"NAPA STATE HOSPITAL, CA US",1996-02,,,15,11,0,0,,,,,,,0,0,1.76,,,,9.6,0,,,
USC00046074,"NAPA STATE HOSPITAL, CA US",1996-03,,,,,0,0,,,,,,,0,0,,,,,,0,,,
USC00046074,"NAPA STATE HOSPITAL, CA US",1996-04,,24,10,6,0,0,0,0,0,17,1,37,0,0,2.66,93,,205,3.81,0,59,72.6,45.3
USC00046074,"NAPA STATE HOSPITAL, CA US",1996-05,,49,6,4,0,0,0,0,0,25,2,39,0,0,1.85,92,,115,3.72,0,62.9,76.4,49.4
USC00046074,"NAPA STATE HOSPITAL, CA US",1996-06,,89,0,0,0,0,0,0,0,29,6,45,0,0,0,98,,39,0,0,66.8,82.1,51.4
USC00046074,"NAPA STATE HOSPITAL, CA US",1996-07,,159,0,0,0,0,0,0,0,28,10,50,0,0,0,100,0,0,0,0,70.7,86.8,54.6
USC00046074,"NAPA STATE HOSPITAL, CA US",1996-08,,143,0,0,0,0,0,0,0,31,11,48,0,0,0,98,8,8,0,0,69.3,85.5,53.2
USC00046074,"NAPA STATE HOSPITAL, CA US",1996-09,,45,2,0,0,0,0,0,0,27,3,46,0,0,0.02,93,41,32,0.03,0,65.6,80.6,50.6
USC00046074,"NAPA STATE HOSPITAL, CA US",1996-10,,69,5,4,0,0,0,0,0,25,4,39,0,0,1.45,101,176,135,1.94,0,62.9,76.8,48.9
USC00046074,"NAPA STATE HOSPITAL, CA US",1996-11,,0,9,5,0,0,0,0,0,6,0,36,0,0,1.32,76,477,302,3.19,0,54.9,65.2,44.7
USC00046074,"NAPA STATE HOSPITAL, CA US",1996-12,,0,17,14,0,0,0,2,0,0,0,31,0,0,2.25,67,903,426,12.93,0,51.3,58.8,43.8
USC00046074,"NAPA STATE HOSPITAL, CA US",1997-01,0,0,14,11,0,0,0,2,0,0,0,25,0,0,2.74,64,1388,485,10.5,0,48.3,56.1,40.5
USC00046074,"NAPA STATE HOSPITAL, CA US",1997-02,0,0,5,1,0,0,0,0,0,5,0,34,0,0,0.31,72,1735,347,0.46,0,52.6,64.5,40.7
USC00046074,"NAPA STATE HOSPITAL, CA US",1997-03,1,1,3,3,0,0,0,0,0,17,0,33,0,0,0.48,81,1988,253,0.86,0,56.6,70.6,42.5
USC00046074,"NAPA STATE HOSPITAL, CA US",1997-04,9,8,6,2,0,0,0,0,0,21,0,35,0,0,0.4,85,2152,164,0.57,0,59.8,73.3,46.3
USC00046074,"NAPA STATE HOSPITAL, CA US",1997-05,91,81,1,1,0,0,0,0,0,29,3,41,0,0,0.79,100,2194,42,0.79,0,66.6,81.9,51.3
USC00046074,"NAPA STATE HOSPITAL, CA US",1997-06,182,91,2,1,0,0,0,0,0,30,2,48,0,0,0.21,94,2209,15,0.23,0,67.5,81.5,53.5
USC00046074,"NAPA STATE HOSPITAL, CA US",1997-07,292,111,0,0,0,0,0,0,0,30,2,50,0,0,0,91,0,0,0,0,68.7,82.5,54.8
USC00046074,"NAPA STATE HOSPITAL, CA US",1997-08,429,137,1,1,0,0,0,0,0,31,4,52,0,0,0.82,97,2,2,0.82,0,69.4,82.8,56
USC00046074,"NAPA STATE HOSPITAL, CA US",1997-09,591,161,1,0,0,0,0,0,0,28,7,50,0,0,0.03,99,2,1,0.03,0,70.9,86,55.7
USC00046074,"NAPA STATE HOSPITAL, CA US",1997-10,630,39,3,2,0,0,0,0,0,30,2,42,0,0,1.13,90,74,72,1.26,0,64,77.9,50
USC00046074,"NAPA STATE HOSPITAL, CA US",1997-11,646,16,18,11,0,0,0,0,0,5,0,41,0,0,1.51,86,299,225,7.96,0,58,66.9,49.2
USC00046074,"NAPA STATE HOSPITAL, CA US",1997-12,646,0,9,6,0,0,0,1,0,0,0,25,0,0,1.2,65,721,423,2.56,0,50.9,60.3,41.5
USC00046074,"NAPA STATE HOSPITAL, CA US",1998-01,0,0,23,16,0,0,0,3,0,0,0,28,0,0,1.41,62,1156,435,8.73,0,51,57.8,44.1
USC00046074,"NAPA STATE HOSPITAL, CA US",1998-02,0,0,23,16,0,0,0,0,0,0,0,35,0,0,2.82,65,1547,390,14.15,0,51.1,58.8,43.3
USC00046074,"NAPA STATE HOSPITAL, CA US",1998-03,0,0,14,10,0,0,0,0,0,10,0,33,0,0,0.63,74,1829,282,2.68,0,55.2,66.9,43.5
USC00046074,"NAPA STATE HOSPITAL, CA US",1998-04,17,17,12,4,0,0,0,0,0,13,0,35,0,0,0.45,86,2084,255,1.55,0,57.1,69.5,44.6
USC00046074,"NAPA STATE HOSPITAL, CA US",1998-05,17,0,12,7,0,0,0,0,0,14,0,40,0,0,0.8,75,2291,207,2.99,0,58.3,68.2,48.5
USC00046074,"NAPA STATE HOSPITAL, CA US",1998-06,66,49,1,1,0,0,0,0,0,25,2,47,0,0,0.15,90,2323,32,0.15,0,65.6,77.1,54.2
USC00046074,"NAPA STATE HOSPITAL, CA US",1998-07,198,132,0,0,0,0,0,0,0,30,4,51,0,0,0,101,3,3,0,0,69.3,83,55.6
USC00046074,"NAPA STATE HOSPITAL, CA US",1998-08,407,209,0,0,0,0,0,0,0,28,12,52,0,0,0,106,4,0,0,0,72.5,88.6,56.4
